instance;solved;time;GCN;LCN;stress
grafo10003.40.gml;1;0.0209;6;3;0.3471
grafo10008.42.gml;1;0.007;20;3;0.3456
grafo10020.38.gml;1;0.0062;14;3;0.3815
grafo10027.38.gml;1;0.0058;8;2;0.3435
grafo10030.38.gml;1;0.0062;12;2;0.3374
grafo10054.40.gml;1;0.0056;8;2;0.3251
grafo10058.32.gml;1;0.0054;4;2;0.3182
grafo10078.40.gml;1;0.006;7;2;0.3428
grafo10087.39.gml;1;0.0061;8;3;0.3706
grafo10089.37.gml;1;0.0059;12;4;0.3307
grafo10100.99.gml;1;0.0107;78;7;0.3508
grafo10103.98.gml;1;0.0104;61;6;0.3375
grafo10107.93.gml;1;0.0103;73;5;0.39
grafo10118.97.gml;1;0.0097;61;9;0.347
grafo10125.99.gml;1;0.008;17;3;0.326
grafo10128.98.gml;1;0.0112;64;8;0.3653
grafo10130.97.gml;1;0.0103;95;8;0.3464
grafo10140.40.gml;1;0.0057;5;2;0.3015
grafo10144.98.gml;1;0.0104;47;4;0.335
grafo10149.95.gml;1;0.011;74;5;0.375
grafo10154.94.gml;1;0.0108;79;6;0.3454
grafo10170.96.gml;1;0.0096;54;6;0.3977
grafo10193.38.gml;1;0.0058;2;1;0.3462
grafo10194.97.gml;1;0.0105;62;6;0.3231
grafo10195.99.gml;1;0.0116;100;9;0.3637
grafo10201.93.gml;1;0.0093;55;4;0.3611
grafo10204.100.gml;1;0.012;133;11;0.3754
grafo10207.98.gml;1;0.0114;112;11;0.3959
grafo10214.94.gml;1;0.0104;55;7;0.3558
grafo10228.95.gml;1;0.0104;77;5;0.3355
grafo10240.97.gml;1;0.0108;73;6;0.3763
grafo10243.95.gml;1;0.0103;71;8;0.3382
grafo10250.100.gml;1;0.011;86;7;0.3606
grafo10252.96.gml;1;0.0105;67;7;0.3201
grafo10260.98.gml;1;0.0097;50;5;0.3468
grafo10262.100.gml;1;0.0101;80;6;0.3475
grafo10266.94.gml;1;0.0112;87;6;0.3302
grafo10276.41.gml;1;0.0063;11;2;0.3556
grafo10278.40.gml;1;0.0063;12;2;0.3611
grafo10280.37.gml;1;0.0059;6;2;0.3327
grafo10298.97.gml;1;0.0117;110;10;0.3783
grafo10301.94.gml;1;0.011;93;6;0.3203
grafo10311.91.gml;1;0.0082;20;3;0.3418
grafo10317.91.gml;1;0.01;49;4;0.3321
grafo10343.94.gml;1;0.0086;13;2;0.3067
grafo10344.100.gml;1;0.0099;45;4;0.3438
grafo1035.37.gml;1;0.006;9;2;0.3226
grafo10352.95.gml;1;0.0093;37;4;0.3242
grafo10362.94.gml;1;0.0108;85;9;0.3344
grafo10366.99.gml;1;0.0108;66;5;0.3535
grafo10370.98.gml;1;0.0102;68;6;0.3647
grafo10373.94.gml;1;0.0089;31;4;0.3389
grafo10374.97.gml;1;0.0095;57;5;0.3624
grafo10378.100.gml;1;0.0078;24;5;0.3116
grafo10385.94.gml;1;0.0095;79;7;0.3858
grafo10391.94.gml;1;0.0101;56;7;0.3274
grafo10412.94.gml;1;0.0094;51;5;0.3116
grafo10416.96.gml;1;0.0112;81;7;0.3251
grafo10418.100.gml;1;0.0113;89;6;0.3258
grafo10429.100.gml;1;0.0096;53;5;0.3298
grafo10433.97.gml;1;0.0094;52;6;0.333
